Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Same As Day
2359,4/9/2008,8,25,33,39,40,45,43,39,1,5,4,2,1,0,1,3,1,,,,,,,,,,,,,,,
2360,8/9/2008,8,17,20,39,41,44,43,"8,39",3,3,3,3,1,2,0,1,2,,,,,,,,,,,,,,,
2361,11/9/2008,8,10,20,23,40,41,38,"8,20,41",3,3,2,4,2,1,1,1,1,,,,,,,,,,,,,,,
2362,15/9/2008,11,12,13,21,25,32,2,,4,2,4,2,0,3,2,1,0,,,,,,,,,,,,,,,
2363,18/9/2008,10,23,31,37,38,41,20,,1,5,4,2,1,0,1,3,1,,,,,,,,,,,,,,,
2364,22/9/2008,6,10,18,21,30,35,1,10,4,2,2,4,2,1,2,1,0,,,,,,,,,,,,,,,
2365,25/9/2008,1,15,17,26,38,42,21,,3,3,3,3,1,2,1,1,1,,,,,,,,,,,,,,,
2366,29/9/2008,9,10,22,27,36,39,44,,3,3,3,3,2,0,2,2,0,,,,,,,,,,,,,,,
2367,2/10/2008,3,6,7,11,27,37,12,27,4,2,5,1,3,1,1,1,0,,,,,,,,,,,,,,,
2368,6/10/2008,6,13,22,30,31,42,40,6,3,3,2,4,1,1,2,1,1,,,,,,,,,,,,,,,
2369,9/10/2008,2,20,31,33,38,42,15,"31,42",2,4,2,4,1,1,0,3,1,,,,,,,,,,,,,,,
2370,13/10/2008,9,23,24,25,30,41,14,,1,5,4,2,1,0,4,0,1,,,,,,,,,,,,,,,
2371,16/10/2008,17,23,24,38,40,44,26,"23,24",1,5,2,4,0,1,2,2,1,,,,,,,,,,,,,,,
2372,20/10/2008,12,16,18,23,25,35,41,23,3,3,3,3,0,3,2,1,0,,,,,,,,,,,,,,,
2373,23/10/2008,5,11,18,24,39,41,45,18,3,3,4,2,1,2,1,1,1,,,,,,,,,,,,,,,
2374,27/10/2008,1,3,6,7,26,39,18,39,4,2,4,2,4,0,1,1,0,,,,,,,,,,,,,,,
2375,30/10/2008,1,9,17,23,35,38,34,1,3,3,5,1,2,1,1,2,0,,,,,,,,,,,,,,,
2376,3/11/2008,1,6,31,35,40,42,44,"1,35",2,4,3,3,2,0,0,3,1,,,,,,,,,,,,,,,
2377,6/11/2008,13,24,26,27,32,35,21,35,1,5,3,3,0,1,3,2,0,,,,,,,,,,,,,,,
2378,10/11/2008,3,8,12,14,36,40,24,,4,2,1,5,2,2,0,2,0,,,,,,,,,,,,,,,
2379,13/11/2008,5,12,15,20,29,36,19,"12,36",4,2,3,3,1,3,1,1,0,,,,,,,,,,,,,,,
2380,17/11/2008,8,17,24,30,42,43,18,,2,4,2,4,1,1,2,0,2,,,,,,,,,,,,,,,
2381,20/11/2008,18,24,28,29,31,38,17,24,1,5,2,4,0,1,3,2,0,,,,,,,,,,,,,,,
2382,24/11/2008,1,12,19,22,33,37,21,,4,2,4,2,1,2,1,2,0,,,,,,,,,,,,,,,
2383,27/11/2008,9,17,18,25,41,45,29,,3,3,5,1,1,2,1,0,2,,,,,,,,,,,,,,,
2384,1/12/2008,4,5,13,16,23,26,30,,4,2,3,3,2,2,2,0,0,,,,,,,,,,,,,,,
2385,4/12/2008,2,9,34,39,42,43,26,,2,4,3,3,2,0,0,2,2,,,,,,,,,,,,,,,
2386,8/12/2008,13,15,18,22,37,45,35,,4,2,4,2,0,3,1,1,1,,,,,,,,,,,,,,,
2387,11/12/2008,2,4,6,28,42,43,39,,3,3,1,5,3,0,1,0,2,,,,,,,,,,,,,,,
2388,15/12/2008,17,19,28,30,32,36,29,28,2,4,2,4,0,2,2,2,0,,,,,,,,,,,,,,,
2389,18/12/2008,1,2,6,17,18,21,10,17,6,0,3,3,3,2,1,0,0,,,,,,,,,,,,,,,
2390,22/12/2008,10,12,16,26,33,34,29,,3,3,1,5,1,2,1,2,0,,,,,,,,,,,,,,,
2391,25/12/2008,3,4,17,28,34,41,33,34,3,3,3,3,2,1,1,1,1,,,,,,,,,,,,,,,
2392,29/12/2008,2,3,14,25,27,38,1,3,3,3,3,3,2,1,2,1,0,,,,,,,,,,,,,,,
2393,1/1/2009,3,4,12,22,27,39,37,"3,27",4,2,3,3,2,1,2,1,0,,,,,,,,,,,,,,,
2394,5/1/2009,4,6,8,18,27,44,13,"4,27",4,2,1,5,3,1,1,0,1,,,,,,,,,,,,,,,
2395,8/1/2009,6,21,23,28,30,34,39,6,2,4,2,4,1,0,4,1,0,,,,,,,,,,,,,,,
2396,12/1/2009,2,5,6,15,28,36,16,"6,28",4,2,2,4,3,1,1,1,0,,,,,,,,,,,,,,,
2397,15/1/2009,5,15,18,19,33,43,30,"5,15",4,2,5,1,1,3,0,1,1,,,,,,,,,,,,,,,
2398,19/1/2009,3,8,25,30,31,45,21,,2,4,4,2,2,0,2,1,1,,,,,,,,,,,,,,,
2399,22/1/2009,15,20,29,33,39,43,44,,2,4,5,1,0,2,1,2,1,,,,,,,,,,,,,,,
2400,26/1/2009,3,4,11,16,41,44,1,,4,2,3,3,2,2,0,0,2,,,,,,,,,,,,,,,
2401,29/1/2009,3,13,16,22,31,32,43,"3,16",4,2,3,3,1,2,1,2,0,,,,,,,,,,,,,,,
2402,2/2/2009,5,13,16,27,41,43,7,"13,16",3,3,5,1,1,2,1,0,2,,,,,,,,,,,,,,,
2403,6/2/2009,6,14,15,28,37,43,24,43,3,3,3,3,1,2,1,1,1,,,,,,,,,,,,,,,
2404,9/2/2009,5,10,20,24,29,31,36,,3,3,3,3,2,1,2,1,0,,,,,,,,,,,,,,,
2405,12/2/2009,2,11,17,24,30,36,45,24,3,3,2,4,1,2,2,1,0,,,,,,,,,,,,,,,
2406,16/2/2009,4,9,21,25,41,45,37,,3,3,5,1,2,0,2,0,2,,,,,,,,,,,,,,,
2407,19/2/2009,9,14,33,34,39,44,35,9,2,4,3,3,1,1,0,3,1,,,,,,,,,,,,,,,
2408,23/2/2009,2,5,9,11,14,27,19,"9,14",5,1,4,2,3,2,1,0,0,,,,,,,,,,,,,,,
2409,26/2/2009,6,10,13,32,33,35,15,,3,3,3,3,2,1,0,3,0,,,,,,,,,,,,,,,
2410,2/3/2009,1,19,22,28,32,45,13,32,3,3,3,3,1,1,2,1,1,,,,,,,,,,,,,,,
2411,5/3/2009,5,6,22,33,34,45,44,"22,45",3,3,3,3,2,0,1,2,1,,,,,,,,,,,,,,,
2412,9/3/2009,3,4,10,12,30,31,9,,4,2,2,4,3,1,1,1,0,,,,,,,,,,,,,,,
2413,12/3/2009,4,16,22,31,36,40,20,"4,31",3,3,1,5,1,1,1,3,0,,,,,,,,,,,,,,,
2414,16/3/2009,2,15,16,24,33,42,39,16,3,3,2,4,1,2,1,1,1,,,,,,,,,,,,,,,
2415,19/3/2009,16,26,29,31,40,44,14,16,1,5,2,4,0,1,2,2,1,,,,,,,,,,,,,,,
2416,23/3/2009,8,14,20,30,38,45,17,,3,3,1,5,1,2,1,1,1,,,,,,,,,,,,,,,
2417,26/3/2009,14,21,23,32,36,40,8,14,2,4,2,4,0,1,2,3,0,,,,,,,,,,,,,,,
2418,30/3/2009,4,6,20,21,32,44,18,"21,32",4,2,1,5,2,1,1,1,1,,,,,,,,,,,,,,,
2419,2/4/2009,17,20,22,31,34,45,6,20,3,3,3,3,0,2,1,2,1,,,,,,,,,,,,,,,
2420,6/4/2009,7,15,26,28,34,40,19,34,2,4,2,4,1,1,2,2,0,,,,,,,,,,,,,,,
2421,9/4/2009,20,26,34,36,37,39,29,"26,34",1,5,2,4,0,1,1,4,0,,,,,,,,,,,,,,,
2422,13/4/2009,17,18,23,24,29,30,38,,2,4,3,3,0,2,4,0,0,,,,,,,,,,,,,,,
2423,16/4/2009,7,16,18,31,34,42,10,18,3,3,2,4,1,2,0,2,1,,,,,,,,,,,,,,,
2424,20/4/2009,4,15,18,20,41,43,17,18,4,2,3,3,1,3,0,0,2,,,,,,,,,,,,,,,
2425,23/4/2009,4,18,27,30,32,42,15,"4,18",2,4,1,5,1,1,2,1,1,,,,,,,,,,,,,,,
2426,27/4/2009,8,20,30,31,37,38,9,30,2,4,2,4,1,1,1,3,0,,,,,,,,,,,,,,,
2427,30/4/2009,9,15,18,29,41,43,1,,3,3,5,1,1,2,1,0,2,,,,,,,,,,,,,,,
2428,4/5/2009,2,3,4,13,16,42,35,,5,1,2,4,3,2,0,0,1,,,,,,,,,,,,,,,
2429,7/5/2009,5,17,29,31,42,45,10,42,2,4,5,1,1,1,1,1,2,,,,,,,,,,,,,,,
2430,11/5/2009,3,11,14,24,26,37,33,,3,3,3,3,1,2,2,1,0,,,,,,,,,,,,,,,
2431,14/5/2009,9,12,17,28,29,30,32,,3,3,3,3,1,2,3,0,0,,,,,,,,,,,,,,,
2432,18/5/2009,13,16,27,31,35,45,32,,2,4,5,1,0,2,1,2,1,,,,,,,,,,,,,,,
2433,22/5/2009,12,16,23,24,30,31,25,"16,31",2,4,2,4,0,2,3,1,0,,,,,,,,,,,,,,,
2434,25/5/2009,7,8,21,26,30,45,15,30,3,3,3,3,2,0,3,0,1,,,,,,,,,,,,,,,
2435,28/5/2009,2,4,19,21,22,31,8,21,5,1,3,3,2,1,2,1,0,,,,,,,,,,,,,,,
2436,1/6/2009,4,24,26,30,31,38,41,"4,31",1,5,1,5,1,0,3,2,0,,,,,,,,,,,,,,,
2437,4/6/2009,3,22,24,28,29,32,37,24,2,4,2,4,1,0,4,1,0,,,,,,,,,,,,,,,
2438,8/6/2009,10,12,17,24,40,42,7,24,3,3,1,5,1,2,1,1,1,,,,,,,,,,,,,,,
2439,11/6/2009,2,16,23,35,40,42,17,"40,42",2,4,2,4,1,1,1,2,1,,,,,,,,,,,,,,,
2440,15/6/2009,1,20,23,27,35,41,5,"23,35",2,4,5,1,1,1,2,1,1,,,,,,,,,,,,,,,
2441,18/6/2009,21,22,23,29,34,36,20,23,2,4,3,3,0,0,4,2,0,,,,,,,,,,,,,,,
2442,22/6/2009,5,11,16,19,28,31,14,,4,2,4,2,1,3,1,1,0,,,,,,,,,,,,,,,
2443,25/6/2009,5,18,23,34,37,40,12,5,2,4,3,3,1,1,1,3,0,,,,,,,,,,,,,,,
2444,29/6/2009,7,10,22,24,29,30,4,,3,3,2,4,2,0,4,0,0,,,,,,,,,,,,,,,
2445,2/7/2009,1,3,5,14,15,25,16,,5,1,5,1,3,2,1,0,0,,,,,,,,,,,,,,,
2446,6/7/2009,14,16,17,29,32,34,45,14,3,3,2,4,0,3,1,2,0,,,,,,,,,,,,,,,
2447,9/7/2009,11,13,21,32,35,44,18,32,3,3,4,2,0,2,1,2,1,,,,,,,,,,,,,,,
2448,13/7/2009,25,26,32,36,42,43,3,32,0,6,2,4,0,0,2,2,2,,,,,,,,,,,,,,,
2449,16/7/2009,10,20,30,31,39,45,6,,2,4,3,3,1,1,1,2,1,,,,,,,,,,,,,,,
2450,20/7/2009,12,26,28,37,38,39,1,39,1,5,2,4,0,1,2,3,0,,,,,,,,,,,,,,,
2451,23/7/2009,15,24,25,32,33,44,29,,1,5,3,3,0,1,2,2,1,,,,,,,,,,,,,,,
2452,27/7/2009,4,11,32,36,39,42,12,32,2,4,2,4,1,1,0,3,1,,,,,,,,,,,,,,,
2453,30/7/2009,1,8,12,22,24,35,45,,4,2,2,4,2,1,2,1,0,,,,,,,,,,,,,,,
2454,3/8/2009,11,21,23,31,33,44,6,,2,4,5,1,0,1,2,2,1,,,,,,,,,,,,,,,
2455,6/8/2009,1,6,7,8,19,31,33,31,5,1,4,2,4,1,0,1,0,,,,,,,,,,,,,,,
2456,10/8/2009,15,20,22,23,29,33,28,,3,3,4,2,0,2,3,1,0,,,,,,,,,,,,,,,
2457,13/8/2009,1,23,37,38,39,42,40,23,1,5,4,2,1,0,1,3,1,,,,,,,,,,,,,,,
2458,17/8/2009,1,13,22,29,43,45,17,1,3,3,5,1,1,1,2,0,2,,,,,,,,,,,,,,,
2459,20/8/2009,3,10,12,13,16,29,17,"13,29",5,1,3,3,2,3,1,0,0,,,,,,,,,,,,,,,
2460,24/8/2009,6,7,8,10,12,13,26,"10,12,13",6,0,2,4,4,2,0,0,0,,,,,,,,,,,,,,,
2461,27/8/2009,6,7,9,19,32,41,8,"6,7",4,2,4,2,3,1,0,1,1,,,,,,,,,,,,,,,
2462,31/8/2009,2,10,17,27,40,42,11,,3,3,2,4,2,1,1,1,1,,,,,,,,,,,,,,,
2463,3/9/2009,2,6,25,30,31,33,44,2,2,4,3,3,2,0,2,2,0,,,,,,,,,,,,,,,
2464,7/9/2009,1,5,15,33,34,37,28,33,3,3,5,1,2,1,0,3,0,,,,,,,,,,,,,,,
2465,10/9/2009,2,25,29,36,37,40,19,37,1,5,3,3,1,0,2,3,0,,,,,,,,,,,,,,,
2466,14/9/2009,2,10,12,18,21,39,35,2,5,1,2,4,2,2,1,1,0,,,,,,,,,,,,,,,
2467,17/9/2009,1,8,10,29,36,38,34,10,3,3,2,4,3,0,1,2,0,,,,,,,,,,,,,,,
2468,21/9/2009,3,8,12,19,34,40,22,8,4,2,2,4,2,2,0,2,0,,,,,,,,,,,,,,,
2469,25/9/2009,2,4,22,29,31,39,37,,3,3,3,3,2,0,2,2,0,,,,,,,,,,,,,,,
2470,28/9/2009,4,6,16,21,40,45,10,4,4,2,2,4,2,1,1,1,1,,,,,,,,,,,,,,,
2471,1/10/2009,7,10,31,33,43,45,22,45,2,4,5,1,2,0,0,2,2,,,,,,,,,,,,,,,
2472,5/10/2009,10,14,21,30,39,44,8,10,3,3,2,4,1,1,2,1,1,,,,,,,,,,,,,,,
2473,8/10/2009,11,13,18,21,30,31,34,"21,30",4,2,4,2,0,3,2,1,0,,,,,,,,,,,,,,,
2474,12/10/2009,1,16,20,22,27,31,38,31,4,2,3,3,1,2,2,1,0,,,,,,,,,,,,,,,
2475,15/10/2009,7,22,23,36,37,45,31,22,2,4,4,2,1,0,2,2,1,,,,,,,,,,,,,,,
2476,19/10/2009,5,21,22,34,36,41,9,"22,36",3,3,3,3,1,0,2,2,1,,,,,,,,,,,,,,,
2477,22/10/2009,13,31,34,35,40,43,1,34,1,5,4,2,0,1,0,4,1,,,,,,,,,,,,,,,
2478,26/10/2009,2,19,23,28,29,32,25,,2,4,3,3,1,1,3,1,0,,,,,,,,,,,,,,,
2479,29/10/2009,1,6,25,28,29,32,24,"28,29,32",2,4,3,3,2,0,3,1,0,,,,,,,,,,,,,,,
2480,2/11/2009,16,22,23,31,37,39,18,,2,4,4,2,0,1,2,3,0,,,,,,,,,,,,,,,
2481,5/11/2009,5,13,23,25,27,37,4,"23,37",2,4,6,0,1,1,3,1,0,,,,,,,,,,,,,,,
2482,9/11/2009,6,7,18,28,32,35,42,,3,3,2,4,2,1,1,2,0,,,,,,,,,,,,,,,
2483,12/11/2009,16,20,26,29,40,41,18,,2,4,2,4,0,2,2,1,1,,,,,,,,,,,,,,,
2484,16/11/2009,20,24,31,33,34,41,25,"20,41",1,5,3,3,0,1,1,3,1,,,,,,,,,,,,,,,
2485,19/11/2009,10,22,33,37,44,45,15,33,2,4,3,3,1,0,1,2,2,,,,,,,,,,,,,,,
2486,23/11/2009,1,20,21,22,29,30,38,22,4,2,3,3,1,1,4,0,0,,,,,,,,,,,,,,,
2487,26/11/2009,5,11,12,17,20,30,43,"20,30",5,1,3,3,1,4,1,0,0,,,,,,,,,,,,,,,
2488,30/11/2009,1,17,22,35,44,45,36,17,3,3,4,2,1,1,1,1,2,,,,,,,,,,,,,,,
2489,3/12/2009,1,8,10,12,13,14,15,1,6,0,2,4,3,3,0,0,0,,,,,,,,,,,,,,,
2490,7/12/2009,4,13,22,27,39,45,21,13,3,3,4,2,1,1,2,1,1,,,,,,,,,,,,,,,
2491,10/12/2009,8,10,13,21,25,45,26,"13,45",4,2,4,2,2,1,2,0,1,,,,,,,,,,,,,,,
2492,14/12/2009,2,8,14,20,21,37,3,"8,21",5,1,2,4,2,2,1,1,0,,,,,,,,,,,,,,,
2493,17/12/2009,3,7,11,31,34,41,22,,3,3,5,1,2,1,0,2,1,,,,,,,,,,,,,,,
2494,21/12/2009,4,8,16,17,38,42,12,,4,2,1,5,2,2,0,1,1,,,,,,,,,,,,,,,
2495,24/12/2009,5,9,11,26,27,29,2,,3,3,5,1,2,1,3,0,0,,,,,,,,,,,,,,,
2496,28/12/2009,9,24,33,36,37,40,44,9,1,5,3,3,1,0,1,4,0,,,,,,,,,,,,,,,
2497,31/12/2009,7,8,35,36,39,44,37,36,2,4,3,3,2,0,0,3,1,,,,,,,,,,,,,,,
2498,4/1/2010,11,16,20,27,30,41,26,,3,3,3,3,0,3,2,0,1,,,,,,,,,,,,,,,
2499,7/1/2010,5,6,22,34,42,45,35,,3,3,2,4,2,0,1,1,2,,,,,,,,,,,,,,,
2500,11/1/2010,6,26,29,30,39,41,12,6,1,5,3,3,1,0,3,1,1,,,,,,,,,,,,,,,
2501,14/1/2010,3,26,31,34,36,41,42,"26,41",1,5,3,3,1,0,1,3,1,,,,,,,,,,,,,,,
2502,18/1/2010,1,16,22,24,25,36,13,36,3,3,2,4,1,1,3,1,0,,,,,,,,,,,,,,,
2503,21/1/2010,15,17,20,38,39,44,6,,3,3,3,3,0,3,0,2,1,,,,,,,,,,,,,,,
2504,25/1/2010,1,8,14,17,36,42,15,17,4,2,2,4,2,2,0,1,1,,,,,,,,,,,,,,,
2505,28/1/2010,6,8,11,18,21,30,41,8,5,1,2,4,2,2,2,0,0,,,,,,,,,,,,,,,
2506,1/2/2010,3,5,15,23,32,42,30,,3,3,4,2,2,1,1,1,1,,,,,,,,,,,,,,,
2507,4/2/2010,24,28,29,32,39,44,12,32,0,6,2,4,0,0,3,2,1,,,,,,,,,,,,,,,
2508,8/2/2010,9,14,15,27,29,32,12,"29,32",3,3,4,2,1,2,2,1,0,,,,,,,,,,,,,,,
2509,11/2/2010,1,2,14,31,42,43,3,14,3,3,3,3,2,1,0,1,2,,,,,,,,,,,,,,,
2510,15/2/2010,4,24,28,29,35,42,34,42,1,5,2,4,1,0,3,1,1,,,,,,,,,,,,,,,
2511,18/2/2010,6,9,29,30,31,37,26,29,2,4,4,2,2,0,2,2,0,,,,,,,,,,,,,,,
2512,22/2/2010,9,18,25,37,40,43,30,"9,37",2,4,4,2,1,1,1,2,1,,,,,,,,,,,,,,,
2513,26/2/2010,4,17,22,26,34,37,43,37,3,3,2,4,1,1,2,2,0,,,,,,,,,,,,,,,
2514,1/3/2010,23,25,27,31,40,42,20,,0,6,4,2,0,0,3,2,1,,,,,,,,,,,,,,,
2515,4/3/2010,4,14,23,27,43,45,24,"23,27",2,4,4,2,1,1,2,0,2,,,,,,,,,,,,,,,
2516,8/3/2010,3,13,21,22,24,36,40,,4,2,3,3,1,1,3,1,0,,,,,,,,,,,,,,,
2517,11/3/2010,6,10,11,13,15,42,33,13,5,1,3,3,2,3,0,0,1,,,,,,,,,,,,,,,
2518,15/3/2010,7,28,31,32,39,42,9,42,1,5,3,3,1,0,1,3,1,,,,,,,,,,,,,,,
2519,18/3/2010,1,4,6,30,31,32,8,"31,32",3,3,2,4,3,0,1,2,0,,,,,,,,,,,,,,,
2520,22/3/2010,9,12,16,23,29,31,10,31,3,3,4,2,1,2,2,1,0,,,,,,,,,,,,,,,
2521,25/3/2010,10,13,24,29,33,42,31,29,2,4,3,3,1,1,2,1,1,,,,,,,,,,,,,,,
2522,29/3/2010,2,18,30,41,43,44,14,,2,4,2,4,1,1,1,0,3,,,,,,,,,,,,,,,
2523,1/4/2010,4,5,6,18,28,30,21,"18,30",4,2,1,5,3,1,2,0,0,,,,,,,,,,,,,,,
2524,5/4/2010,9,13,21,31,37,39,3,,3,3,6,0,1,1,1,3,0,,,,,,,,,,,,,,,
2525,8/4/2010,5,9,14,22,24,29,26,9,4,2,3,3,2,1,3,0,0,,,,,,,,,,,,,,,
2526,12/4/2010,5,10,28,33,36,39,16,5,2,4,3,3,2,0,1,3,0,,,,,,,,,,,,,,,
2527,15/4/2010,12,13,23,26,38,43,25,,2,4,3,3,0,2,2,1,1,,,,,,,,,,,,,,,
2528,19/4/2010,9,23,32,38,39,43,1,"23,38,43",1,5,4,2,1,0,1,3,1,,,,,,,,,,,,,,,
2529,22/4/2010,9,26,30,31,35,43,45,"9,43",1,5,4,2,1,0,2,2,1,,,,,,,,,,,,,,,
2530,26/4/2010,7,14,23,32,36,44,31,,2,4,2,4,1,1,1,2,1,,,,,,,,,,,,,,,
2531,29/4/2010,12,20,23,30,31,41,38,23,2,4,3,3,0,2,2,1,1,,,,,,,,,,,,,,,
2532,3/5/2010,1,6,19,25,42,45,8,,3,3,4,2,2,1,1,0,2,,,,,,,,,,,,,,,
2533,6/5/2010,4,8,33,42,44,45,19,"42,45",2,4,2,4,2,0,0,1,3,,,,,,,,,,,,,,,
2534,10/5/2010,1,12,16,18,34,36,41,,4,2,1,5,1,3,0,2,0,,,,,,,,,,,,,,,
2535,14/5/2010,5,12,23,37,38,43,41,12,2,4,4,2,1,1,1,2,1,,,,,,,,,,,,,,,
2536,17/5/2010,6,16,22,23,31,33,20,23,3,3,3,3,1,1,2,2,0,,,,,,,,,,,,,,,
2537,20/5/2010,8,12,27,31,36,40,30,31,2,4,2,4,1,1,1,3,0,,,,,,,,,,,,,,,
2538,24/5/2010,8,19,22,23,28,33,13,8,3,3,3,3,1,1,3,1,0,,,,,,,,,,,,,,,
2539,27/5/2010,1,5,11,12,33,38,20,33,4,2,4,2,2,2,0,2,0,,,,,,,,,,,,,,,
2540,31/5/2010,6,7,9,12,13,44,28,12,5,1,3,3,3,2,0,0,1,,,,,,,,,,,,,,,
2541,3/6/2010,18,24,26,30,32,33,3,,1,5,1,5,0,1,3,2,0,,,,,,,,,,,,,,,
2542,7/6/2010,1,8,13,17,22,33,25,33,5,1,4,2,2,2,1,1,0,,,,,,,,,,,,,,,
2543,10/6/2010,20,31,35,40,43,44,17,,1,5,3,3,0,1,0,3,2,,,,,,,,,,,,,,,
2544,14/6/2010,7,13,14,15,18,44,28,44,5,1,3,3,1,4,0,0,1,,,,,,,,,,,,,,,
2545,17/6/2010,13,14,15,20,38,45,35,"13,14,15",4,2,3,3,0,4,0,1,1,,,,,,,,,,,,,,,
2546,21/6/2010,10,14,16,19,37,41,1,14,4,2,3,3,1,3,0,1,1,,,,,,,,,,,,,,,
2547,24/6/2010,2,4,13,22,25,39,1,,4,2,3,3,2,1,2,1,0,,,,,,,,,,,,,,,
2548,28/6/2010,5,8,17,27,32,34,22,,3,3,3,3,2,1,1,2,0,,,,,,,,,,,,,,,
2549,1/7/2010,14,22,25,36,43,44,29,,2,4,2,4,0,1,2,1,2,,,,,,,,,,,,,,,
2550,5/7/2010,7,10,29,30,34,41,17,,2,4,3,3,2,0,2,1,1,,,,,,,,,,,,,,,
2551,8/7/2010,3,6,9,23,38,39,14,,3,3,4,2,3,0,1,2,0,,,,,,,,,,,,,,,
2552,12/7/2010,3,4,14,18,26,42,33,3,4,2,1,5,2,2,1,0,1,,,,,,,,,,,,,,,
2553,15/7/2010,10,17,20,23,25,31,33,,3,3,4,2,1,2,2,1,0,,,,,,,,,,,,,,,
2554,19/7/2010,3,4,5,10,19,35,9,10,5,1,4,2,4,1,0,1,0,,,,,,,,,,,,,,,
2555,23/7/2010,12,14,16,23,29,40,21,,3,3,2,4,0,3,2,1,0,,,,,,,,,,,,,,,
2556,26/7/2010,7,9,21,28,30,41,37,,3,3,4,2,2,0,3,0,1,,,,,,,,,,,,,,,
2557,29/7/2010,6,7,11,23,42,44,38,7,3,3,3,3,2,1,1,0,2,,,,,,,,,,,,,,,
2558,2/8/2010,2,4,7,10,29,43,25,7,4,2,3,3,4,0,1,0,1,,,,,,,,,,,,,,,
2559,5/8/2010,6,10,12,22,23,40,25,10,4,2,1,5,2,1,2,1,0,,,,,,,,,,,,,,,
2560,9/8/2010,11,15,16,36,38,43,40,,3,3,3,3,0,3,0,2,1,,,,,,,,,,,,,,,
2561,12/8/2010,5,12,23,26,29,31,19,,2,4,4,2,1,1,3,1,0,,,,,,,,,,,,,,,
2562,16/8/2010,4,12,13,15,29,43,41,"12,29",4,2,4,2,1,3,1,0,1,,,,,,,,,,,,,,,
2563,19/8/2010,8,19,30,31,33,43,32,43,2,4,4,2,1,1,1,2,1,,,,,,,,,,,,,,,
2564,23/8/2010,7,9,29,37,40,43,11,43,2,4,5,1,2,0,1,2,1,,,,,,,,,,,,,,,
2565,26/8/2010,3,28,32,34,43,45,37,43,1,5,3,3,1,0,1,2,2,,,,,,,,,,,,,,,
2566,30/8/2010,12,16,21,29,34,40,38,34,3,3,2,4,0,2,2,2,0,,,,,,,,,,,,,,,
2567,2/9/2010,7,12,17,18,25,27,1,12,4,2,4,2,1,3,2,0,0,,,,,,,,,,,,,,,
2568,6/9/2010,7,12,13,22,28,29,16,"7,12",4,2,3,3,1,2,3,0,0,,,,,,,,,,,,,,,
2569,9/9/2010,2,18,21,22,32,40,34,22,4,2,1,5,1,1,2,2,0,,,,,,,,,,,,,,,
